iter	Passed	Remaining
423	2201	2991
424	2208	2987
425	2215	2984
426	2222	2982
427	2225	2973
428	2228	2965
429	2239	2968
430	2246	2966
431	2251	2959
432	2268	2970
433	2275	2967
434	2277	2958
435	2280	2949
436	2290	2950
437	2292	2942
438	2295	2933
439	2303	2931
440	2311	2929
441	2318	2927
442	2321	2918
443	2324	2910
444	2326	2901
445	2330	2894
446	2334	2887
447	2338	2881
448	2349	2883
449	2356	2879
450	2363	2876
451	2370	2874
452	2373	2866
453	2393	2878
454	2395	2869
455	2397	2860
456	2410	2864
457	2422	2867
458	2425	2859
459	2434	2857
460	2436	2849
461	2463	2869
462	2466	2860
463	2468	2851
464	2471	2843
465	2480	2842
466	2489	2841
467	2492	2833
468	2506	2837
469	2508	2828
470	2510	2819
471	2517	2816
472	2520	2808
473	2535	2813
474	2537	2804
475	2539	2795
476	2549	2794
477	2551	2786
478	2565	2790
479	2568	2782
480	2570	2773
481	2579	2771
482	2582	2763
483	2584	2754
484	2586	2746
485	2599	2749
486	2609	2748
487	2613	2741
488	2616	2733
489	2626	2733
490	2628	2725
491	2631	2716
492	2637	2711
493	2641	2705
494	2649	2703
495	2652	2694
496	2665	2697
497	2676	2698
498	2679	2690
499	2682	2682
500	2684	2674
501	2687	2666
502	2690	2657
503	2699	2656
504	2702	2648
505	2705	2641
506	2712	2637
507	2720	2634
508	2722	2626
509	2736	2629
510	2739	2621
511	2743	2614
512	2757	2617
513	2761	2610
514	2772	2610
515	2774	2602
516	2777	2594
517	2779	2586
518	2782	2578
519	2784	2570
520	2797	2571
521	2798	2562
522	2801	2554
523	2803	2546
524	2814	2546
525	2817	2538
526	2828	2539
527	2831	2530
528	2833	2523
529	2841	2520
530	2859	2525
531	2861	2517
532	2864	2509
533	2867	2501
534	2879	2502
535	2881	2494
536	2884	2486
537	2888	2480
538	2897	2478
539	2912	2481
540	2925	2481
541	2927	2473
542	2930	2466
543	2932	2458
544	2935	2450
545	2938	2442
546	2940	2435
547	2942	2427
548	2955	2427
549	2957	2419
550	2971	2421
551	2973	2412
552	2977	2406
553	2979	2398
554	2982	2391
555	2985	2384
556	2994	2381
557	3006	2381
558	3024	2385
559	3034	2384
560	3037	2376
561	3053	2379
562	3058	2373
563	3061	2366
564	3063	2358
565	3071	2355
566	3082	2354
567	3105	2362
568	3108	2354
569	3123	2356
570	3126	2349
571	3141	2350
572	3144	2343
573	3149	2337
574	3153	2330
575	3162	2327
576	3165	2320
577	3185	2325
578	3189	2319
579	3198	2316
580	3215	2319
581	3218	2311
582	3222	2305
583	3231	2301
584	3255	2309
585	3265	2307
586	3268	2299
587	3271	2292
588	3273	2284
589	3276	2276
590	3294	2279
591	3296	2272
592	3311	2272
593	3320	2269
594	3331	2267
595	3333	2259
596	3346	2259
597	3350	2252
598	3363	2251
599	3375	2250
600	3381	2244
601	3390	2241
602	3397	2236
603	3400	2229
604	3402	2221
605	3418	2222
606	3422	2215
607	3435	2214
608	3448	2214
609	3458	2211
610	3471	2210
611	3480	2206
612	3482	2198
613	3485	2191
614	3488	2183
615	3505	2185
616	3507	2177
617	3509	2169
618	3511	2161
619	3520	2157
620	3522	2150
621	3525	2142
622	3528	2134
623	3530	2127
624	3532	2119
625	3555	2124
626	3557	2116
627	3559	2108
628	3561	2100
629	3571	2097
630	3575	2091
631	3578	2083
632	3580	2075
633	3582	2068
634	3585	2060
635	3588	2053
636	3590	2046
637	3593	2038
638	3595	2031
639	3617	2035
640	3621	2028
641	3627	2022
642	3632	2016
643	3651	2018
644	3654	2011
645	3656	2003
646	3660	1997
647	3672	1994
648	3675	1987
649	3682	1982
650	3690	1978
651	3694	1971
652	3706	1969
653	3713	1964
654	3722	1960
655	3726	1953
656	3733	1949
657	3745	1946
658	3755	1943
659	3759	1936
660	3760	1928
661	3763	1921
662	3765	1914
663	3769	1907
664	3772	1900
665	3784	1897
666	3786	1890
667	3789	1883
668	3792	1876
669	3794	1869
670	3809	1868
671	3812	1860
672	3814	1853
673	3817	1846
674	3819	1838
675	3835	1838
676	3837	1830
677	3840	1823
678	3842	1816
679	3855	1814
680	3857	1807
681	3860	1799
682	3863	1792
683	3864	1785
684	3880	1784
685	3883	1777
686	3885	1770
687	3888	1763
688	3890	1756
689	3906	1755
690	3909	1748
691	3911	1741
692	3916	1735
693	3927	1731
694	3931	1725
695	3943	1722
696	3945	1715
697	3947	1708
698	3950	1701
699	3953	1694
700	3988	1701
701	3991	1694
702	4004	1691
703	4019	1689
